X,Y
3.62E-06,-2.919607639
2.99E-05,-2.222613096
1.46E-05,-2.512339115
-1.18E-07,-3.359862328
-4.95E-07,-3.068386316
4.66E-05,-2.050508499
-1.08E-06,-2.495240927
6.50E-05,-1.922397733
8.60E-05,-1.813844681
-1.81E-06,-2.314700603
1.10E-04,-1.713260293
-2.70E-06,-2.218506098
1.37E-04,-1.62727046
0.999879971,0.497198045
0.999940829,0.52222383
0.99998565,0.550711632
0.999985373,0.57514739
-3.73E-06,-2.141293049
1.69E-04,-1.545757651
0.999816697,0.479551584
0.999941963,0.51629895
-4.92E-06,-2.089354992
2.05E-04,-1.46871078
0.99974057,0.464461118
0.999882304,0.489868969
-6.29E-06,-2.053319931
2.46E-04,-1.403333426
0.999641073,0.449587166
0.999820318,0.472224444
0.999745693,0.456830442
-7.86E-06,-2.035223484
2.93E-04,-1.342656136
3.44E-04,-1.281360388
0.999526621,0.436819673
0.999648019,0.441805124
-9.67E-06,-2.029181004
4.00E-04,-1.323101997
0.999405695,0.426217765
0.999278255,0.417266726
0.999535634,0.427783936
0.0203368,0.953644633
0.0225594,0.939867556
0.0230408,0.937738538
-1.17E-05,-2.044179201
4.60E-04,-1.562751412
0.999144128,0.409635603
0.999416948,0.416420043
0.152859273,0.399351269
0.152350227,0.399697274
0.150314045,0.39584738
0.149808761,0.395453513
0.144865,0.413439602
0.145359,0.412484944
0.146347,0.410386503
0.145853,0.411484003
0.149311,0.39959681
0.148817,0.402599931
0.147829,0.406406879
0.147335,0.407892644
0.146841,0.409193277
0.144371,0.414316684
0.143877,0.415156126
0.143383,0.415889025
0.142889,0.416571647
0.142395,0.41717881
0.141901,0.417711675
0.141407,0.418064356
0.058165733,0.679463923
0.057667683,0.681286931
0.055159,0.705761969
0.054657,0.709070325
0.052147,0.722984612
0.050648661,0.724298656
0.051143,0.722146988
0.065611563,0.639105141
0.067577812,0.638730288
0.06708625,0.640355825
0.066594687,0.642004192
0.066103125,0.642528474
0.070035625,0.627625465
0.069544062,0.630160034
0.0690525,0.632532775
0.068560937,0.634757996
0.068069375,0.636846662
0.065118707,0.641130924
0.064623267,0.647405922
0.064126533,0.652802885
0.0636298,0.657020867
0.063133067,0.660643339
0.062636333,0.663873374
0.0621396,0.666886508
0.061642867,0.669718981
0.061146133,0.672333717
0.0606494,0.67483747
0.060152667,0.677109301
0.058662467,0.682277739
0.059655933,0.679109693
0.0591592,0.681209028
0.035973667,0.838253558
0.048755571,0.745257497
0.049698286,0.736612201
0.049226929,0.741217434
0.048284214,0.748928428
0.047812857,0.752320945
0.0473415,0.755604446
0.046870143,0.758674145
0.046398786,0.761514783
0.044984714,0.768237472
0.045456071,0.766959846
0.044513357,0.767259836
0.044041339,0.769522488
0.043568,0.776532769
0.043094,0.782391191
0.04262,0.787110448
0.042146,0.791393757
0.041672,0.79520154
0.0181603,0.961295366
0.016861222,0.963060081
0.015565556,0.961454272
0.016429333,0.962991834
0.015997444,0.962437332
0.0199015,0.955618143
0.0207721,0.951467693
0.035497083,0.84228605
0.0350205,0.84614408
0.034543917,0.84972465
0.034067333,0.853208065
0.03359075,0.856615543
0.0254478,0.921204925
0.032160396,0.86347723
0.031682,0.86967802
0.031203,0.875140011
0.0212074,0.949028373
0.022089525,0.942690074
0.0216427,0.946157992
0.0235222,0.934805214
0.0240036,0.931715548
0.0121295,0.932177901
0.012556625,0.938417912
0.011702375,0.924794197
0.01127525,0.915841758
0.010848125,0.904430151
0.005719,0.608375669
0.006071,0.650514007
0.006423,0.684006095
0.006775,0.708641708
0.01042271,0.88910985
0.010000714,0.876147926
0.009580429,0.867205083
-1.41E-05,-2.082098007
